,app_name,user_id,user_name,date,country,version,score,topic,review,url,review_id,category_final,sentiment_final,req_final
593,Facebook,278914496,Shrediez,2017-06-01 0:00:00,Canada,94,1,"Snapchat copycat, bloatware.","New features make facebook seem more of a knockoff snapchat clone mashed with facebook which equals a disgusting monstrosity. I have not even touched the new features at all and I find it useless. Even all my friends haven't even posted a single story since that feature came out. Few words, Get rid of these ugly useless features. Seriously, these features bloat up your app and wastes my precious storage space. I will most likely will not use the app again if this continues.",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=278914496,738,requirement,very negative,functional
53702,Facebook,237243638,Wanna b runner,2017-06-12 0:00:00,United States,96,1,Can't use Facebook anymore.,"I have the awful video only version. Can't make comments when in break at my job because I work in a quiet environment. No sound or talking. No posting images from my worksite. Without comments, I can't post anything.  Without sound, watching a video stinks. how do I go back?",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=237243638,54360,requirement,neutral,functional
55527,Facebook,380143424,eyeore1617,2017-05-28 0:00:00,United States,94,1,Update 5/25/17,Now I can't like or react to other people's comments. So much for a social networkðŸ‘‰ will go back to using a web sign on my iPhone.,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=380143424,56185,requirement,negative,functional
57607,Facebook,36064815,Tjwrnglr,2017-05-15 0:00:00,United States,92,1,Why?,"Why is it so hard to make the feed show up chronologically?? Here it is a Monday, and I'm seeing posts from last Wednesday first, followed by a mixture of new/old posts.. obviously it's not just the app, because it's just as messed up when I'm on an actual computer!",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=36064815,58265,requirement,neutral,functional
52667,Facebook,581108866,RemyKidd17,2017-06-20 0:00:00,United States,97,1,Keeps getting worse,Everything keeps on getting worse.,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=581108866,53325,other,negative,
54547,Facebook,493001864,Don_rana,2017-06-04 0:00:00,United States,95,1,Decrease app size,"250MB+!
Seriously Facebook???
Why!Cant download without wifi.",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=493001864,55205,requirement,negative,non-functional
52032,Facebook,524514573,_snowflakekitten,2017-06-24 0:00:00,United States,98,1,Fix the crashing issue,"There are a few things that I can't stand about the app.
â€¢When I'm reading an article the app crashes and I can't find the article again
â€¢It's not in chronological order, this should be a setting that we can change. I see things from 5 days ago and it ticks me off.
And
â€¢My profile won't let me update my name, I'm recently engaged and I'm not given the option to change my name.",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=524514573,52690,bug report,negative,
53114,Facebook,118545569,Gainer 74,2017-06-16 0:00:00,United States,96,1,Many issues,"Very glitchy
In app web browser is horrendous and rarely takes you to the place you want with adds that are sometimes offensive. 
Updates are huge and useless",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=118545569,53772,bug report,negative,
51019,Facebook,581005232,Shelly_ds,2017-06-20 0:00:00,South Africa,97,2,Tags,Loving the new look!! But all of a sudden I cant tag anyone in posts or comments anymore? Is it the new facebook or one of my settings? I've been through everything and nothing is helping?,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=581005232,51402,bug report,positive,
41754,Facebook,447339557,Freyyaa,2017-05-29 0:00:00,United Kingdom,94,2,Keeps crashing,I can't upload a post bc whenever i try to upload multiple photos it just stops working and crashes,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=447339557,42137,bug report,neutral,
48544,Facebook,468632498,San ram,2017-06-02 0:00:00,India,94,2,Comments not seen,"After the update I can't to read comments on any pages or posts I can see only stickers only and why should I spend such 200mb update for wasting my time. 
Really mess with this..",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=468632498,48927,bug report,neutral,
55723,Facebook,386937810,Joseph Dunham,2017-05-27 0:00:00,United States,94,2,Comment like buttons are not working,Love the app but using the web browser now to like comments.  The newest version the like buttons disappeared!  Wish I had not updated.,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=386937810,56381,bug report,positive,
54394,Facebook,312312955,Saracarmichael24,2017-06-05 0:00:00,United States,95,2,Messenger icon disappeared,"Recently the Messenger icon disappeared from Facebook (on my iPad only, iPhone still has it). I think it happened after the last update. Now I don't know if friends are sending me messages without going out of FB and opening Messenger. Please fix.",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=312312955,55052,bug report,neutral,
53658,Facebook,219510459,Randaroo3,2017-06-12 0:00:00,United States,96,2,Too much space,Make the app do it doesn't take up an entire gigabyte on my phone. I only have 11 gigabytes on here,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=219510459,54316,requirement,neutral,non-functional
55529,Facebook,330492838,Orlaam,2017-05-28 0:00:00,United States,94,2,"Worse, hardly ever better","I'm still able to like comments and even select a reaction.  I'm unsure why others say they can't.  However this app is so bloated for one, not to mention the timeline is hosed.  It'll show posts I've seen from three days ago as if they're new.  Really worthless imo.  I'm utterly shocked at how such a large company can't code an app to work better than this and not eat 1/3 of a phones storage. Oh now you put ads in videos? Well won't be watching them anymore. You guys are a joke.",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=330492838,56187,requirement,very negative,non-functional
448,Facebook,296607147,Bfoxxy23,2017-06-06 0:00:00,Canada,95,2,"Server side update, can't see reacts anymore",A change to the design put the reacts on the side of comments and picture. You can't even see them now.,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=296607147,593,requirement,neutral,non-functional
54917,Facebook,156358539,Mr.Wheelzies,2017-06-02 0:00:00,United States,95,2,Completely Unable to Post Pictures,"Ive deleted the app and re-downloaded it, I've restarted my phone and I've logged out and back into the app yet I still can't post pictures. I'll tap the photo icon, select my pictures then it just freezes there. The only way I can exit out is if I kill the app then open it again. I may still be doing something wrong but I've tried all I can think of.",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=156358539,55575,bug report,neutral,
52132,Facebook,289333688,sspaudel,2017-06-23 0:00:00,United States,98,2,started crashing,Facebook just get crashed after using for few minute on my i5,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=289333688,52790,bug report,neutral,
56124,Facebook,476800329,Diddle's mom,2017-05-24 0:00:00,United States,92,2,Too much,This app has too many updates and takes up too much space. The updates aren't even anything helpful. STOP UNLESS REALLY NEEDED!,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=476800329,56782,requirement,neutral,non-functional
39073,Facebook,104622921,Cosmoholly,2017-05-14 0:00:00,Australia,92,2,Want it like desktop site!,Want all the features easily accessible like desktop version. Also want member activity log for FB groups.,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=104622921,39372,requirement,neutral,functional
55177,Facebook,212594602,Yo123823,2017-05-31 0:00:00,United States,94,2,Photos aren't working,"Every time I try to add photos to my albums, the app freezes. It says you can up load 40 pics at a time, but even when I only try to upload one at a time, it freezes.",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=212594602,55835,bug report,neutral,
57831,Facebook,123764548,Fosterj12,2017-05-14 0:00:00,United States,92,2,Lose the left swipe to camera!,The left swipe to camera is annoying! Bring back the right swipe to see who's online and leave the Instagram style to Instagram!,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=123764548,58489,requirement,negative,functional
57940,Facebook,121368086,Annoyed with this,2017-05-13 0:00:00,United States,63,2,Crashes,Frequently crashes when trying to view profiles or click on links. Has been this way for as long as I've had the app and updates never fix it.,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=121368086,58598,bug report,neutral,
55934,Facebook,244833729,DDee01,2017-05-26 0:00:00,United States,94,2,Update,I have updated so many times..and still the new added colors for stat posting I don't have!,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=244833729,56592,requirement,neutral,non-functional
56731,Facebook,115261616,I'm a bill,2017-05-21 0:00:00,United States,93,2,ï¿½,Bring back the flower & add praying hands!!!!!!!!,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=115261616,57389,requirement,neutral,functional
41577,Facebook,137809961,Hannahw86,2017-06-04 0:00:00,United Kingdom,95,2,Needs improving,Since one of the recent updates I miss most of my friends' recent posts because my feed is instead full of posts from 4/5 days ago. This really needs fixing because I now miss a lot of news updates as well as posts from friends. Otherwise the app is fine.,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=137809961,41960,requirement,neutral,functional
941,Facebook,203873820,Brettskie7725,2017-05-01 0:00:00,Canada,90,2,Video issue,"Videos don't play on wifi! 
I have great wifi and often use different wifi sources. They all glitch when trying to view a video in the app. 
I can immediately switch to any other app or turn off wifi and watch videos.",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=203873820,1086,bug report,neutral,
48385,Facebook,127664683,iKapilGupta,2017-06-12 0:00:00,India,96,2,This app is eating space,I don't understand why facebook is not working to make this app more light it's eating more than 500 mb space on my iphone and their updates also are 100 mb plus. This app needs a major overhaul. Facebook are you listening.,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=127664683,48768,requirement,negative,non-functional
56359,Facebook,203378629,Broshida,2017-05-22 0:00:00,United States,88.1,2,Bloated App,Not exactly the most efficient piece of software.,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=203378629,57017,requirement,negative,non-functional
57827,Facebook,452892401,jmkl15,2017-05-14 0:00:00,United States,92,2,Liking comments,Why did the ability to like comments go away??,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=452892401,58485,requirement,neutral,functional
115,Facebook,537473706,Tucker1488,2017-06-27 0:00:00,Canada,98,2,Last update,The last update turned thing app into a major battery issue,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=537473706,166,requirement,neutral,functional
57374,Facebook,167491272,Beekayisa64,2017-05-17 0:00:00,United States,92,2,Stop whatever you are trying to do.,"Now you moved the message icon in an odd spot at the top of the screen. Put it back down the bottom.  Quit changing things you think people want and don't. 

Quit making so called improvements. Just leave things alone. Nothing wrong with the way things used to be. Now you took away friend list being alphabetical order.",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=167491272,58032,requirement,negative,non-functional
52902,Facebook,237147211,Inside_0utx3,2017-06-18 0:00:00,United States,97,2,Getting worse? Idk?,I go to delete a picture and it won't delete? i tried to update my profile picture & it says it can't upload but still uploads and my picture is super freaking blurry!!!?,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=237147211,53560,bug report,negative,
52283,Facebook,175849415,G_la_hunt,2017-06-23 0:00:00,United States,97,2,Ugh,"Why does Facebook hate chronological order so much?  It's bad enough that it won't put my friends' posts in order in my newsfeed.  Now it tells me it's going to list my Notifications by ""most relevant"" to me instead of in time order, too.  Why?  Just why?? Surely writing some complex algorithm to try to guess what I MIGHT think is relevant is far more time consuming and expensive than just letting stories appear in chronological order?!?",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=175849415,52941,requirement,negative,non-functional
59116,Facebook,517948365,Muy maloï¿½,2017-05-02 0:00:00,United States,90,2,Fallaï¿½ï¿½ï¿½,"Hola, Ãºltimamente la aplicaciÃ³n me estÃ¡ sacando de ella cada ves que entro, me saca tal ves pueden arreglar eso !",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=517948365,59774,noise,,
52913,Facebook,430428761,Nkhukuej,2017-06-18 0:00:00,United States,97,2,Enough is Enough!,"Facebook get back to your purpose and what you have told us in your core values. I love Facebook for many of the same reasons that I hate it. In my opinion Facebook has made using Messenger and Facebook Pages invasive and crippling. Barriers to using these apps for my personal benefit is getting higher and higher. I have had some very positive experiences with these apps but I feel that changes are being made that are not in the Users best interest. Then you started with Instagram. Although I have been a huge supporter in the past, I am losing my patience.",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=430428761,53571,requirement,very negative,non-functional
59171,Facebook,131630716,Cdiddy19892007,2017-05-01 0:00:00,United States,90,2,Takes up too much space.,I have to delete it and reinstall periodically because it accumulates data constantly and grows into a huge leach on my phone.,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=131630716,59829,requirement,negative,non-functional
48512,Facebook,416335174,Iphone5usersooraj,2017-06-03 0:00:00,India,94,2,Why updating regularly when there is no use,Al tese updates are just waste of use..app is slow and no changes,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=416335174,48895,requirement,negative,non-functional
41931,Facebook,313040106,Kitkat27111999,2017-05-23 0:00:00,United Kingdom,93,3,Wellâ€¦,HOW ABOUT SOME ACTUAL GIF SUPPORT LIKE THE TWITTER APP?! (And I mean so that you can just upload a gif straight from your photos into a post!),https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=313040106,42314,requirement,neutral,functional
52569,Facebook,513478428,Luhv itï¿½,2017-06-21 0:00:00,United States,97,3,.....,MAKE IT SO WE CAN UNSEND MESSAGES LIKE INSTA DOES.,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=513478428,53227,requirement,neutral,functional
41322,Facebook,135384054,ClaireBear156,2017-06-16 0:00:00,United Kingdom,97,3,Good but changes needed,The app does everything i want but I'm unable to see my memories or view on this day which is disappointing,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=135384054,41705,requirement,positive,functional
48872,Facebook,553989178,Makkena Vijaya Krishna,2017-05-11 0:00:00,India,91,3,Bug fix,There are notifications of friend requests but after opening them there are none,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=553989178,49255,bug report,neutral,
46859,Facebook,100562043,sichew,2017-06-24 0:00:00,Hong Kong,98,3,Facebook,ï¼ˆ ï¼‰ ï¼Œ ï¼Œ ï¼,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=100562043,47242,noise,,
55597,Facebook,554251435,TheCptDanger,2017-05-28 0:00:00,United States,94,3,Meh,iOS does everything better than android so far (I'm a recent convert) except for Facebook. Where's our nifty backgrounds for status updates?,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=554251435,56255,requirement,positive,functional
52316,Facebook,544370965,SaeeD22022,2017-06-22 0:00:00,United States,96,3,Thanks,"Thank you for this app
But your weekly updates aren't useful.",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=544370965,52974,other,positive,
55150,Facebook,257722413,Jezele,2017-05-31 0:00:00,United States,94,3,Update,"Right now I can't post videos, it won't allow me to, it just crashes when I try.",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=257722413,55808,bug report,neutral,
57060,Facebook,571921349,bowhunter2018,2017-05-20 0:00:00,United States,89,3,Freezes,Lately i have been scrolling through my news feed and it freezes mid screen and i have to back out of the app and restart my phone to restart everything and when i try again it does the same thing,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=571921349,57718,bug report,negative,
48422,Facebook,184265079,Dr H Ganesh PI,2017-06-09 0:00:00,India,96,3,FB App for IPhone,Excellent but too big an app,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=184265079,48805,requirement,positive,non-functional
47733,Facebook,229058310,,2017-05-27 0:00:00,Singapore,94,3,Why cannot download?,Y suddenly cannot download?,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=229058310,48116,bug report,neutral,
922,Facebook,316241186,Ashleyklassen23,2017-05-04 0:00:00,Canada,90,3,Colour status not working,I don't know what is wrong but I can't get the colour status to work on my fully updated iPhone 5s,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=316241186,1067,bug report,neutral,
54493,Facebook,33933534,veselyw,2017-06-04 0:00:00,United States,95,3,Crashes way too often...,"Great UI improvements, but the app crashes, seemingly randomly, when I'm reading an article.  Very annoying.  This needs to change!  It's making the app, at least for me, almost useless...",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=33933534,55151,bug report,negative,
772,Facebook,324298298,Dylenc,2017-05-18 0:00:00,Canada,92,3,Ads,"You guys need to find a different way for ads in videos. Either before the video starts, or add a skip button you completely ruin the experience of watching a video someone has posted by stopping it a few minutes in for an add. As soon as the ad starts I lose interest in finishing the video.",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=324298298,917,requirement,negative,functional
58483,Facebook,46194433,LetaB,2017-05-07 0:00:00,United States,91,3,I like FB but not it's apps,"With every update, Facebook gets more and more annoying. For me, the most annoying is ""people you may know"" ðŸ˜© idc about ppl i MAY know! Take your dating site elsewhere ðŸ˜’ I still have to figure out how to get that little box off the right side of my screen. I wish there was a button like this for more things on FB. I also don't like the way the video automatically fills your screen after a few seconds. What was wrong with the old way of tapping the video? Simple is grand.",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=46194433,59141,requirement,very negative,non-functional
54036,Facebook,175110016,Yaripr20,2017-06-08 0:00:00,United States,95,3,Notifications are weird.,"I keep getting notification bubbles. It will say 12, I go in and I have 8. It says 9, I go in and have 3. It says 4 and I go in and there's none. I hate having the bubble so I have to keep going into the app to clear it but it pops up less than 5 minutes later.",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=175110016,54694,bug report,neutral,
52764,Facebook,464623379,Tay.Matic,2017-06-19 0:00:00,United States,97,3,Unable to watch videos,"I'm unable to watch Live videos, it keeps freezing. I can exit out the video or restart the phone and it still does it. Same thing with playing a video it says that my connection isn't strong and I could be in wifi or have a really strong connection. Never had this issue before until recently.",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=464623379,53422,bug report,neutral,
41240,Facebook,120053418,Austin616,2017-06-18 0:00:00,United Kingdom,97,3,Notifications disappear once I open the app.,"I get a notification on the app icon, but when I open the app it's gone. Bad update?",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=120053418,41623,bug report,neutral,
48571,Facebook,506345684,Anandtas,2017-05-31 0:00:00,India,94,3,250 MB/ Its a Lot!,"I Recently uninstall Facebook and messenger both just coz of their size. 250 MB for a single App is lot on 16 GB iphone. 
I will back when space issue Solved..!
Thanks.",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=506345684,48954,requirement,negative,non-functional
48997,Facebook,491465013,PJais91,2017-05-01 0:00:00,India,89,3,Complaint regarding updation,I cannot update or reinstall the app on mobile network..it says above 100 mb needs to be updated on wifi only.,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=491465013,49380,requirement,neutral,non-functional
48486,Facebook,564532740,Adityajain95,2017-06-03 0:00:00,India,92,3,App size too big,App size is very big. Please try to lessen the size.,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=564532740,48869,requirement,negative,non-functional
